timestamp,fps,total_latency_ms,classification_ms,segmentation_ms,memory_mb,cpu_percent,flood_ratio
1779508181.9381511,1.99,468.91,125.79,202.63,627.66,38.1,0.3116
1779508182.4476264,1.99,479.91,135.22,203.58,627.3,40.7,0.3116
1779509124.6993003,1.97,482.33,137.88,200.19,658.29,41.6,0.3116
1779509125.21224,1.97,483.39,128.21,213.95,658.0,41.5,0.3116
1779509125.7267697,1.95,481.37,134.06,205.78,658.19,39.1,0.3116
1779509126.2399523,1.95,482.86,134.09,203.72,658.29,41.2,0.3116
1779509126.7445273,1.97,474.38,134.45,198.56,658.31,43.9,0.3116
1779509127.2491434,1.97,475.3,130.39,203.35,657.77,45.8,0.3116
1779509127.7550526,1.98,475.17,134.4,199.13,658.25,50.0,0.3116
1779509128.298931,1.98,514.48,166.75,206.55,657.96,54.6,0.3116
1779509128.8242643,1.87,492.51,146.39,205.3,657.73,50.5,0.3116
1779509129.3139448,1.87,459.35,129.96,188.39,658.25,49.2,0.3116
1779509129.8381305,1.97,490.75,140.94,208.85,657.98,48.8,0.3116
1779509130.3482132,1.97,475.18,128.29,206.15,658.12,41.5,0.3116
1779509130.8545182,1.97,477.25,132.52,203.03,658.09,43.2,0.3116
1779509131.362065,1.97,476.12,134.97,199.67,658.26,40.7,0.3116
1779509131.8703337,1.97,477.91,126.57,210.4,658.15,43.5,0.3116
1779509132.384819,1.97,485.53,136.35,207.75,657.89,42.0,0.3116
1779509132.887362,1.97,473.49,128.77,203.32,658.07,41.5,0.3116
1779509133.3919404,1.97,475.06,128.65,205.03,656.48,44.5,0.3116
1779509133.9051216,1.97,480.35,133.6,201.75,657.31,41.8,0.3116
1779509134.4221144,1.97,488.27,131.17,214.82,658.64,41.9,0.3116
1779509134.923602,1.96,471.48,129.37,199.94,657.9,42.4,0.3116
1779509135.4253807,1.96,471.97,129.79,201.16,657.61,45.5,0.3116
1779510494.4303052,1.97,489.67,148.65,200.18,724.4,42.9,0.3116
1779510494.9343054,1.95,472.65,135.19,196.44,724.54,42.9,0.3116
1779510495.435492,1.95,470.47,129.79,198.85,724.41,45.6,0.3116
1779510495.9390466,1.99,473.01,131.51,200.95,724.73,49.7,0.3116
1779510496.4438233,1.99,475.09,135.25,198.0,724.56,46.2,0.3116
1779510496.93431,1.99,459.45,123.35,194.85,724.46,45.5,0.3116
1779510497.436878,2.0,471.9,156.32,170.21,724.43,57.0,0.3116
1779510497.94281,2.0,475.99,137.33,198.12,724.36,41.1,0.3116
1779510498.4606586,1.95,488.82,141.04,206.71,724.19,46.4,0.3116
1779510498.9937372,1.95,503.26,150.43,207.62,724.78,58.5,0.3116
1779510499.5023136,1.92,478.26,140.87,196.0,724.46,44.6,0.3116
1779510500.0243912,1.92,490.65,148.62,200.95,724.38,58.0,0.3116
1779510500.5163877,1.97,459.61,128.09,190.99,724.32,47.4,0.3116
1779510501.0102088,1.97,462.38,124.2,192.25,724.49,42.9,0.3116
1779510501.5093963,1.97,468.53,131.05,195.64,724.38,41.8,0.3116
1779510502.0187826,2.0,477.42,134.82,197.65,724.32,41.1,0.3116
1779510502.5291195,2.0,481.15,130.48,209.99,724.48,52.0,0.3116
1779510503.031628,1.97,471.81,135.99,194.6,723.62,45.7,0.3116
1779510503.5231874,1.97,461.36,132.62,188.01,724.09,49.7,0.3116
1779510504.0343575,1.99,480.89,137.21,197.71,725.41,52.0,0.3116
1779510504.588083,1.99,523.49,156.96,225.48,724.96,55.9,0.3116
1779510505.0947902,1.89,475.45,129.3,204.29,724.8,40.6,0.3116
1779510505.5972595,1.89,465.81,133.92,190.62,725.01,42.7,0.3116
1779510506.0933845,1.89,466.28,129.77,195.99,724.94,40.3,0.3116
1779511881.4807305,1.99,476.79,134.48,201.29,726.77,44.9,0.3116
